feature,disc_effect,cal_effect,cross_effect,final_effect,min_abs_effect
h1_stoch_k_d1,-0.25139484683475377,-0.24879521337114371,-0.2753296762829995,-0.271629036206326,0.24879521337114371
btc1_motion_neg,0.24729412385650582,0.2554008365011276,0.257202781103388,0.2797944972756407,0.24729412385650582
btc1_stoch_raw,-0.25232345945516654,-0.2472195967858595,-0.25741003082014996,-0.27772986960311036,0.2472195967858595
h1_donch_pos_d1,-0.24619862907913093,-0.2572830832470377,-0.2630022052649523,-0.2645789367864871,0.24619862907913093
h1_close_loc,-0.2431068466468844,-0.3557633156173417,-0.2917230196043228,-0.27416422226806036,0.2431068466468844
btc1_rsi_d1,-0.24968556413223345,-0.2471067716709927,-0.25736304091854206,-0.24288041794360954,0.24288041794360954
m15_rsi,-0.24233500467388538,-0.3462792470373331,-0.2843109303098364,-0.28816538198706787,0.24233500467388538
btc1_motion_net,-0.24067937917125748,-0.24409035484329183,-0.255929928723571,-0.27443324641761085,0.24067937917125748
h1_cmo_d1,-0.24045776929512744,-0.24362286466330024,-0.2546500750009372,-0.26413950722115037,0.24045776929512744
btc1_rsi_d3,-0.2628501660937261,-0.2369501434110238,-0.2583858823789655,-0.2665646900190576,0.2369501434110238
